,Geo_FIPS,Geo_TRACT,concentrated_disadvantage,commute_time,median_household_income,total_population,pop_below_18,pop_between_18_34,pop_between_34_65,pop_over_65,cars_per_home
29,06037104620,104620,-0.4985871143871319,25.0,62014.0,3684,908,1073,1341,362,1.564484126984127
30,06037104701,104701,2.5988512288219647,30.0,32036.0,4325,1505,1206,1302,312,0.47437425506555425
31,06037104703,104703,0.6848931328749297,24.0,39181.0,2311,803,601,739,168,0.8724696356275303
32,06037104704,104704,0.6985107752768606,33.0,48581.0,4331,1261,1152,1549,369,1.102642901044868
33,06037104810,104810,-0.05837738065348904,27.0,74145.0,5789,1366,1387,2477,559,1.9941733430444282
34,06037104821,104821,0.7166656716467027,27.0,68750.0,3361,908,1008,1184,261,0.9990645463049579
35,06037104822,104822,0.5756193870962173,27.0,55500.0,2748,761,676,1096,215,0.7264529058116233
36,06037106010,106010,-0.5921884581662863,29.0,71806.0,3108,753,552,1345,458,1.1783333333333332
37,06037106020,106020,-0.9097548573753805,34.0,75038.0,5807,1155,1505,2419,728,2.0605187319884726
38,06037106111,106111,-0.9162384368247696,35.0,93198.0,4482,904,989,1928,661,1.4150943396226414
39,06037106112,106112,-1.155185233243575,33.0,90875.0,5885,1666,1385,2118,716,1.7988059701492538
40,06037106113,106113,-1.2979810474600004,33.0,85156.0,3962,920,856,1530,656,1.2204861111111112
41,06037106114,106114,0.16182141745648795,30.0,54363.0,6410,2112,1773,2123,402,0.6548387096774193
42,06037106403,106403,-0.7059278182105152,28.0,62015.0,3431,803,964,1276,388,1.5791173304628634
43,06037106405,106405,0.03734286260047174,29.0,57807.0,4813,1294,1119,2009,391,0.7432638535841383
44,06037106406,106406,-0.9172649433016524,34.0,77454.0,5860,1503,1355,2275,727,1.3999032882011606
45,06037106407,106407,0.39052379016919875,43.0,37452.0,3272,984,805,1006,477,0.2841634738186462
46,06037106408,106408,0.06035248582406807,28.0,49464.0,3817,1180,1198,1273,166,0.640581330352152
47,06037106510,106510,-1.122858393862941,37.0,91983.0,5347,1477,923,2431,516,0.9611111111111111
48,06037106520,106520,-1.175039188333981,31.0,63594.0,5879,1459,1752,1929,739,1.5932892730045756
49,06037106603,106603,-1.4750921769543481,33.0,114688.0,3222,697,621,1288,616,1.6030741410488245
50,06037106604,106604,0.048937762440827655,28.0,58028.0,5143,1516,1183,1795,649,0.9185441941074524
51,06037106641,106641,-1.2141520648855988,38.0,108333.0,2352,442,393,1011,506,1.1
52,06037106642,106642,-0.6346268938480214,38.0,106179.0,3016,629,526,1240,621,1.2564814814814815
53,06037106643,106643,-1.3637842153270576,37.0,151875.0,4599,830,1012,1895,862,1.8848167539267016
54,06037106645,106645,-1.1020292821264834,37.0,110946.0,3491,622,628,1442,799,1.3993660855784469
55,06037106646,106646,-1.0786792798454328,32.0,105750.0,3439,617,634,1419,769,1.1784037558685445
56,06037106648,106648,-0.6747760021929448,27.0,65278.0,4569,1435,1136,1637,361,1.0261312938177183
57,06037106649,106649,-0.5182545651492443,31.0,82841.0,2599,621,573,1083,322,1.5087108013937283
58,06037107010,107010,-0.4711844251490055,32.0,56375.0,3093,760,890,1212,231,1.332618025751073
59,06037107020,107020,-0.9473613163046856,39.0,81935.0,5442,1562,1416,2108,356,1.2233189389265886
60,06037108101,108101,-1.186346342131756,34.0,141893.0,2417,387,499,1075,456,1.1731409544950056
61,06037108102,108102,-0.9062495665634152,38.0,95592.0,3677,740,430,1569,938,1.024
62,06037108103,108103,-2.020593907730088,35.0,159643.0,3153,523,459,1377,794,1.4207369323050556
63,06037108104,108104,-1.4192995678443643,43.0,130714.0,1922,439,349,721,413,1.2774294670846396
64,06037108201,108201,-1.6664691326632362,38.0,125000.0,5501,1225,706,2727,843,1.0052910052910053
65,06037108202,108202,-1.0641099421680345,40.0,108304.0,7561,1730,919,3308,1604,0.5782908704883227
66,06037109100,109100,-0.41818545874348734,28.0,59792.0,2738,524,553,935,726,1.3199588477366255
