,Station,Address,lat,lon,zipcode,Geo_FIPS,concentrated_disadvantage,commute_time,cars_per_home,median_household_income,ev_car_zip_count,total_population,pop_below_18,pop_between_18_34,pop_between_34_65,pop_over_65
81,AUI-10277,"4424 Wesley Ave., Los Angeles, CA",34.0029364,-118.2876652,90037,6037232110,1.0203571970413574,37.0,0.3363994743758213,32266.0,62,2890,791,798,1094,207
82,AUI-10279,"18235 South Figueroa St, Los Angeles, CA",33.8654075,-118.2819881,90248,6037291300,-1.072547828503879,31.0,1.0729646697388633,79034.0,259,2873,441,640,1130,662
83,AUI-10284,"15321 S Figueroa St, Los Angeles, CA",33.8921709,-118.283233,90248,6037291210,0.5289360488229312,26.0,0.626465661641541,54297.0,259,5488,1386,1233,2147,722
84,AUI-10283,"18401 Burbank Blvd, Los Angeles, CA",34.1720633,-118.5337705,91356,6037139401,-0.4558990901289856,34.0,0.16292848074481592,63048.0,643,2795,470,566,1248,511
85,AUI-10286,"7245 Canoga Ave, Los Angeles, CA",34.202333,-118.597861,91303,6037134522,0.8556316318391715,30.0,0.2846832397754611,37003.0,126,4305,1248,1202,1534,321
86,AUI-10326,"5962 San Vicente Blvd, Los Angeles, CA",34.0567988,-118.3615579,90019,6037216900,0.026990705669688503,27.0,0.1283684468397844,69968.0,512,5100,560,1059,2764,717
87,AUI-10315,"14901 Rinaldi street, Los Angeles, CA",34.2793651,-118.45746,91345,6037109100,-0.3109107531128028,28.0,1.3199588477366255,59792.0,100,2738,524,553,935,726
88,AUI-10282,"10455 W Magnolia Blvd, Los Angeles, CA",34.1651823,-118.3590241,91601,6037125310,0.30520341796600764,28.0,0.3247696174253002,53022.0,366,4761,740,1695,1902,424
89,AUI-10308,"3117 Temple St., Los Angeles, CA",34.075306,-118.280769,90004-3624,6037195802,-0.02596569494801809,32.0,0.5265405735204393,58981.0,501,2817,474,917,1057,369
90,AUI-10314,"20124 Sherman Way, Los Angeles, CA",34.200408,-118.5718745,91371,6037134800,-0.7190652338073544,34.0,1.2710997442455243,80109.0,4,6473,1283,1586,2820,784
91,AUI-10309,"8245 Winnetka Ave, Los Angeles, CA",34.2198591,-118.5713659,91306-1630,6037134103,-0.4327925636292579,30.0,0.8007747648035418,76250.0,301,4543,914,876,2038,715
92,AUI-10288,"1747 S Barrington Ave, Los Angeles, CA",34.04013,-118.4534103,90025,6037267501,-0.41848338864588797,23.0,0.15417428397318708,79531.0,836,6489,876,3225,1890,498
93,AUI-10298,"10416 Irene St, Los Angeles, CA",34.029833700000005,-118.4116094,90034,6037269904,-0.18333397210273955,24.0,0.02044989775051125,68865.0,712,4039,479,1647,1669,244
94,AUI-10302,"722 Alameda St, Los Angeles, CA",34.032807899999995,-118.238363,90021,6037206031,-0.8536082280395552,29.0,0.1698677974557246,90590.0,79,3788,227,1892,1480,189
95,AUI-10287,"2900 S Sepulveda Blvd, Los Angeles, CA",34.028657700000004,-118.4290429,90064-1508,6037271702,-0.33943096658366073,26.0,0.18206278026905828,61063.0,876,3999,795,1792,1137,275
96,AUI-10321,"6510 Forest Lawn Drive, Los Angeles, CA",34.1463664,-118.33349309999998,91522,6037189701,-0.3995853256248037,32.0,0.3417235494880546,91451.0,97,3200,458,754,1530,458
