OBJECTID,TRACTCE10,POP,LATPOP_D,WHIPOP_D,BLAPOP_D,AMIPOP_D,ASIPOP_D,HPIPOP_D,OTHPOP_D,MMRPOP_D,VAP,LATVAP_D,WHIVAP_D,BLAVAP_D,AMIVAP_D,ASIVAP_D,HPIVAP_D,OTHVAP_D,MMRVAP_D,H0010001,H0010002,H0010003,TOOLTIP,NLA_URL
60,107020,5404,4612,303,65,30,364,2,13,15,3736,3110,255,51,22,280,2,7,9,1307,1225,82,Tract: 1070.20\nTotal Population: 5404,navigatela/reports/census_tracts_2010.cfm?PK=107020
61,108101,2230,209,1351,74,6,577,2,6,5,1822,159,1126,54,6,469,2,5,1,800,789,11,Tract: 1081.01\nTotal Population: 2230,navigatela/reports/census_tracts_2010.cfm?PK=108101
62,108102,3430,334,1880,71,3,1113,2,6,21,2755,248,1588,55,3,843,1,5,12,1253,1223,30,Tract: 1081.02\nTotal Population: 3430,navigatela/reports/census_tracts_2010.cfm?PK=108102
63,108103,3256,291,1848,55,0,1033,4,6,19,2650,214,1506,41,0,868,4,3,14,1075,1051,24,Tract: 1081.03\nTotal Population: 3256,navigatela/reports/census_tracts_2010.cfm?PK=108103
64,108104,1698,172,1066,53,1,388,4,1,13,1315,127,856,31,1,289,4,1,6,587,580,7,Tract: 1081.04\nTotal Population: 1698,navigatela/reports/census_tracts_2010.cfm?PK=108104
65,108201,5551,406,2310,130,10,2624,8,22,41,4173,269,1793,93,10,1963,5,14,26,1900,1848,52,Tract: 1082.01\nTotal Population: 5551,navigatela/reports/census_tracts_2010.cfm?PK=108201
66,108202,4895,525,1967,203,14,2123,10,21,32,3754,385,1586,133,14,1601,9,13,13,1972,1826,146,Tract: 1082.02\nTotal Population: 4895,navigatela/reports/census_tracts_2010.cfm?PK=108202
67,109100,2492,1430,728,67,10,240,7,2,8,1971,1002,693,47,10,208,3,1,7,775,731,44,Tract: 1091.00\nTotal Population: 2492,navigatela/reports/census_tracts_2010.cfm?PK=109100
68,109200,2669,1005,1006,101,9,507,1,10,30,2069,709,869,73,7,385,1,6,19,899,873,26,Tract: 1092.00\nTotal Population: 2669,navigatela/reports/census_tracts_2010.cfm?PK=109200
69,109300,3085,1352,1010,133,11,541,2,2,34,2391,987,855,89,11,421,2,2,24,898,877,21,Tract: 1093.00\nTotal Population: 3085,navigatela/reports/census_tracts_2010.cfm?PK=109300
70,109400,3720,2790,519,97,29,246,13,16,10,2827,2013,473,71,24,222,8,9,7,1068,1021,47,Tract: 1094.00\nTotal Population: 3720,navigatela/reports/census_tracts_2010.cfm?PK=109400
71,109500,4303,3983,134,40,8,114,0,7,17,3077,2802,122,36,7,97,0,3,10,1054,1005,49,Tract: 1095.00\nTotal Population: 4303,navigatela/reports/census_tracts_2010.cfm?PK=109500
72,109601,5020,3516,753,156,13,540,10,11,21,3743,2463,654,126,12,463,9,6,10,1323,1276,47,Tract: 1096.01\nTotal Population: 5020,navigatela/reports/census_tracts_2010.cfm?PK=109601
73,109603,4252,2761,761,207,15,482,1,11,14,3150,1882,696,146,14,396,1,6,9,1316,1265,51,Tract: 1096.03\nTotal Population: 4252,navigatela/reports/census_tracts_2010.cfm?PK=109603
74,109604,2975,1800,708,123,8,307,2,15,12,2256,1263,623,95,7,248,0,10,10,920,889,31,Tract: 1096.04\nTotal Population: 2975,navigatela/reports/census_tracts_2010.cfm?PK=109604
75,109700,4493,1890,1585,141,22,804,11,12,28,3429,1291,1346,101,18,634,10,9,20,1400,1348,52,Tract: 1097.00\nTotal Population: 4493,navigatela/reports/census_tracts_2010.cfm?PK=109700
76,109800,4565,2110,1518,148,33,712,3,10,31,3536,1470,1320,111,21,585,3,6,20,1460,1402,58,Tract: 1098.00\nTotal Population: 4565,navigatela/reports/census_tracts_2010.cfm?PK=109800
