,Geo_FIPS,Geo_TRACT,r_concentrated_disadvantage,r_commute_time,r_median_household_income,a_total_population,a_pop_below_18,a_pop_between_18_34,a_pop_between_34_65,a_pop_over_65,a_occupied_households,a_family_households,a_nonfamily_households,r_average_household_size,r_population_density,a_householder_less_than_high_school,a_householder_high_school_degree,a_householder_some_college,a_householder_bachelors_degree,a_older_than_3_in_school,a_older_than_3_not_in_school,a_not_high_school_grad,a_high_school_grad,a_employed,a_unemployed,a_not_in_labor_force,r_median_house_value,a_30_49_percet_income_to_rent,a_over_50_percent_income_to_rent,a_commuters_by_car_truck_van,a_commuters_by_car_truck_van_alone,a_commuters_by_car_truck_van_carpool,a_children_living_with_single_parents,a_private_sector,a_public_sector,a_self_employed,a_private_non-profit,a_unpaid_family_workers,a_households_social_security_income,a_households_SsI,a_households_retirement_income,a_housing_units,a_vacant_units,a_total_cars
2263,06037920023,920023,0.10014916225359452,34.0,76750.0,2781,659,728,1121,273,729,552,177,3.79,5363.073,137,148,345,99,935,1777,0,230,1519,144,585,146900.0,24,16,1324,1173,151,144,1204,1204,1204,1204,1204,120,12,122,750,21,2194
2264,06037920026,920026,-0.5608973506823833,37.0,81250.0,360,27,67,190,76,92,64,28,2.53,73.90047,0,20,32,40,49,311,0,4,113,4,220,666700.0,0,8,75,66,9,0,57,57,57,57,57,56,0,28,105,13,284
2265,06037920028,920028,-0.4508213666064933,40.0,117423.0,7271,2441,1342,2976,512,2131,1746,385,3.41,7195.3240000000005,53,242,788,1048,2370,4342,10,384,3422,154,1529,478100.0,100,93,3062,2730,332,272,2035,2035,2035,2035,2035,368,49,209,2182,51,6656
2266,06037920029,920029,-0.5126171507264743,33.0,76844.0,3956,1010,970,1606,370,1151,933,218,3.43,4578.095,77,289,483,302,1228,2592,10,302,1985,186,974,423100.0,116,71,1723,1467,256,86,1440,1440,1440,1440,1440,344,30,131,1202,51,3544
2267,06037920030,920030,-0.13356253539377333,32.0,81786.0,5849,1638,1606,2290,315,1840,1346,494,3.18,5786.653,195,291,750,604,1806,3702,0,400,3267,175,1015,426800.0,243,192,2967,2518,449,581,2428,2428,2428,2428,2428,244,66,181,1906,66,5473
2268,06037920031,920031,-0.38762710390714217,42.0,56518.0,5618,894,636,2311,1777,2521,1501,1020,2.21,2287.694,299,591,955,676,889,4555,0,223,2216,153,2507,290100.0,83,146,1998,1770,228,119,1391,1391,1391,1391,1391,1434,81,675,2570,49,6472
2269,06037920032,920032,-0.9954874723732512,41.0,141140.0,3641,1145,566,1616,314,969,850,119,3.61,765.5994,40,86,460,383,1178,2254,0,346,1676,80,969,632500.0,15,0,1457,1302,155,57,911,911,911,911,911,240,19,130,1042,73,3404
2270,06037920033,920033,0.28003343872353587,28.0,46458.0,677,93,179,302,103,186,153,33,2.97,509.8545,28,58,50,50,120,536,0,20,339,50,207,,9,0,289,268,21,6,249,249,249,249,249,33,4,8,186,0,517
2271,06037920034,920034,-0.6172946833397028,34.0,84094.0,3582,936,632,1674,340,1079,783,296,3.31,1029.247,86,225,359,409,1004,2463,0,212,1716,138,937,456500.0,57,82,1523,1346,177,203,1070,1070,1070,1070,1070,272,94,77,1149,70,3439
2272,06037920035,920035,-0.5343951239944141,37.0,79890.0,7112,1751,1665,3024,672,2207,1691,516,3.22,7467.244000000001,214,551,736,706,2036,4757,0,451,3679,259,1686,400800.0,178,188,3412,2741,671,626,2605,2605,2605,2605,2605,399,117,286,2256,49,6443
2273,06037920036,920036,-0.21832357301903324,37.0,84464.0,3170,791,804,1285,290,954,774,180,3.31,6717.081999999999,205,138,366,245,1013,2084,0,225,1591,138,749,420600.0,91,96,1260,1124,136,118,1056,1056,1056,1056,1056,234,29,152,954,0,2941
2274,06037920037,920037,0.5904397811015999,29.0,56694.0,8266,3278,2046,2457,485,2236,1646,590,3.7,22956.67,473,420,1023,320,2899,4740,23,531,3557,221,1549,271100.0,725,541,2963,2393,570,1129,2968,2968,2968,2968,2968,403,27,146,2373,137,6146
2275,06037920038,920038,0.2028023105780549,37.0,53100.0,4299,1196,1100,1625,378,1600,1055,545,2.69,11210.51,264,354,554,428,1234,2850,0,161,2139,188,853,236600.0,432,251,1929,1435,494,486,1605,1605,1605,1605,1605,298,81,147,1673,73,4215
