,Station,lat,lon,zipcode,Geo_FIPS,concentrated_disadvantage,commute_time,cars_per_home,median_household_income,Total Sessions,Total Connection Time,Total Amount,Total kWh
96,AUI-10321,34.1463664,-118.33349309999998,91522,6037189701,-0.3995853256248037,32.0,0.3417235494880546,91451.0,53,56:08,6.69,345.55800000000005
97,AUI-10322,34.2760489,-118.4498162,91340,6037109500,-0.35597732884689004,27.0,1.0454237288135593,44118.0,24,33:04,20.82,203.88099999999997
98,AUI-10317,34.221544,-118.5102314,91325,6037115401,-0.6110583426372481,31.0,0.6174794173527549,61483.0,18,65:08,6.39,217.796
99,AUI-10310,34.207544,-118.50128799999999,91406-5441,6037131900,-0.29484891846691164,30.0,0.965742251223491,75255.0,2,0:03,0.0,0.215
100,AUI-10313,34.278644799999995,-118.52741940000001,91344-1701,6037108103,-1.5053941694703683,35.0,1.4207369323050556,159643.0,23,39:59,17.5,192.641
101,AUI-10312,34.242412200000004,-118.60422109999999,91311,6037113237,-0.13808909592146046,36.0,0.878419452887538,82821.0,40,152:41,9.45,610.003
102,AUI-10307,34.261771,-118.5798527,91311,6037113101,-0.7174313498704399,34.0,1.3874074074074074,105781.0,12,9:38,2.36,55.592
103,AUI-10387,34.0525027,-118.3512399,90019,6037217100,-0.3331028927439653,30.0,0.2329766536964981,64298.0,8,53:15,4.1,103.37700000000001
104,AUI-10294,34.0565394,-118.39647820000002,90035,6037269100,-0.3012923410869374,22.0,0.17014547754585704,86039.0,33,117:46,2.83,653.716
105,AUI-10292,34.0372306,-118.24055729999999,90021,6037206300,2.512186714999324,39.0,0.045126725736657734,10294.0,12,8:07,0.0,32.999
106,AUI-10295,34.0438008,-118.37153290000002,90035,6037216700,0.5555245369923483,28.0,0.212485896953742,69750.0,57,228:20,20.42,1186.088
107,AUI-10296,33.9585605,-118.3947537,90045,6037278001,-0.2406460141811469,26.0,0.8276923076923077,98523.0,58,89:10,16.14,206.503
108,AUI-10290,34.05147410000001,-118.3655228,90019,6037216900,0.026990705669688503,27.0,0.1283684468397844,69968.0,45,103:59,5.02,543.6709999999999
109,AUI-10318,34.0539241,-118.20177,90033,6037203200,0.2936620612342583,32.0,0.4879963065558634,46699.0,17,55:35,0.97,134.4
110,AUI-10319,34.254166999999995,-118.57971200000001,91311,6037113322,-0.7572890436699573,33.0,1.0066305003013865,93795.0,10,4:23,0.06,30.298000000000002
111,AUI-10316,34.0226929,-118.274234,90007,6037224600,1.120469412152214,32.0,0.2954091816367265,40600.0,11,19:02,24.73,115.661
112,AUI-10281,33.988735299999995,-118.3256819,90043,6037234700,0.28324760033398105,44.0,0.4091304347826087,38776.0,8,11:21,15.24,40.543
113,AUI-10324,33.935441600000004,-118.28295690000002,90044,6037241202,1.3547828404168265,37.0,0.6640816326530612,40596.0,19,36:13,5.64,229.025
114,AUI-10323,33.7906825,-118.2762558,90744-4522,6037294301,-1.23128092961453,23.0,1.157239819004525,65897.0,11,19:08,25.79,54.667
115,AUI-10311,34.1641232,-118.36961550000001,91601,6037125501,0.2259276502635271,33.0,0.2662860980523841,47227.0,101,282:39,77.95,1012.329
116,AUI-10299,34.17184829999999,-118.3797377,91601,6037125200,0.6914851015201463,33.0,0.22252217508677208,64219.0,20,73:54,26.35,210.05900000000003
117,AUI-10320,34.182930999999996,-118.59696000000001,91367,6037134905,0.248015194038894,31.0,0.14021967749474176,79985.0,28,114:06,11.75,443.529
118,AUI-10325,34.219355,-118.553673,91306-1630,6037131600,-0.3760600701610416,33.0,1.2054429028815368,68214.0,12,13:29,1.01,50.585
119,AUI-10306,34.179943200000004,-118.59331780000001,91365,6037134905,0.248015194038894,31.0,0.14021967749474176,79985.0,50,94:07,45.36,352.593
120,AUI-10356,34.209773,-118.59842990000001,91304,6037134306,-0.03920638137072405,31.0,0.4373857404021938,73516.0,30,109:32,0.0,386.74800000000005
121,AUI-10338,34.0685547,-118.1989767,90031,6037199120,1.3006109661555765,36.0,0.4891796678409663,35776.0,15,18:02,0.0,95.19
122,AUI-10348,34.0272776,-118.4069342,90034,6037269907,-0.1804128743449017,30.0,0.1870609981515712,68068.0,35,182:59,0.0,455.12
123,AUI-10342,34.0310983,-118.396575,90034,6037269800,-0.036257563435130966,28.0,0.15170278637770898,77778.0,3,1:38,0.0,5.7989999999999995
