,Station,Address,lat,lon,zipcode,Geo_FIPS,concentrated_disadvantage,commute_time,cars_per_home,median_household_income,total_population,pop_below_18,pop_between_18_34,pop_between_34_65,pop_over_65,ev_car_count
82,AUI-10279,"18235 South Figueroa St, Los Angeles, CA",33.8654075,-118.2819881,90248,6037291300,0.048663228789153495,32.625,0.7826877449262997,55960.625,3229.8888888888887,919.1111111111111,879.1111111111111,1109.6666666666667,322.0,284.3030303030303
83,AUI-10284,"15321 S Figueroa St, Los Angeles, CA",33.892170899999996,-118.28323300000001,90248,6037291210,0.8950454996851718,34.92307692307692,0.646412082526333,43450.153846153844,6168.076923076923,1812.076923076923,1602.076923076923,2231.076923076923,522.8461538461538,219.0909090909091
84,AUI-10283,"18401 Burbank Blvd, Los Angeles, CA",34.1720633,-118.5337705,91356,6037139401,-0.5664852108229935,30.95,0.6569105668425336,121858.48333333334,4146.836065573771,852.0655737704918,1021.1639344262295,1674.1967213114754,599.4098360655738,656.1515151515151
85,AUI-10286,"7245 Canoga Ave, Los Angeles, CA",34.202333,-118.59786100000001,91303,6037134522,-0.7890671581666021,34.208333333333336,0.927879725911463,98471.375,4298.8125,835.4375,890.7083333333334,1796.6666666666667,776.0,627.6140350877193
86,AUI-10326,"5962 San Vicente Blvd, Los Angeles, CA",34.056798799999996,-118.36155790000001,90019,6037216900,-0.1480076329367701,30.591836734693878,0.41970371993127426,86153.95918367348,3865.530612244898,667.0204081632653,1098.3877551020407,1540.5510204081634,559.5714285714286,552.439393939394
87,AUI-10315,"14901 Rinaldi street, Los Angeles, CA",34.2793651,-118.45746000000001,91345,6037109100,-0.5533202306538316,35.328125,1.2119722681113032,82215.625,3161.4328358208954,663.2686567164179,726.820895522388,1292.7164179104477,478.6268656716418,467.7313432835821
88,AUI-10282,"10455 W Magnolia Blvd, Los Angeles, CA",34.1651823,-118.3590241,91601,6037125310,0.7046331047940049,26.895833333333332,0.6836088293621397,103211.12195121951,2886.183673469388,520.6326530612245,709.1428571428571,1249.1224489795918,407.2857142857143,601.8636363636364
89,AUI-10308,"3117 Temple St., Los Angeles, CA",34.075306,-118.28076899999999,90004-3624,6037195802,0.9503062785486742,29.338709677419356,0.3737071654025253,58478.017857142855,3466.1774193548385,718.258064516129,1036.241935483871,1354.2903225806451,357.38709677419354,402.25757575757575
90,AUI-10314,"20124 Sherman Way, Los Angeles, CA",34.200408,-118.5718745,91371,6037134800,-0.8374108611243429,33.91803278688525,1.0152278852188907,108011.37704918033,4024.492307692308,806.5846153846154,802.3230769230769,1677.5076923076922,738.0769230769231,566.5074626865671
91,AUI-10309,"8245 Winnetka Ave, Los Angeles, CA",34.2198591,-118.5713659,91306-1630,6037134103,-0.8444136203881782,34.10526315789474,0.8450949093399373,103582.94736842105,3884.5,822.859375,692.078125,1660.1875,709.375,645.59375
92,AUI-10288,"1747 S Barrington Ave, Los Angeles, CA",34.04013,-118.45341029999999,90025,6037267501,-0.7205109980658212,27.973684210526315,0.6458951751099675,158286.97368421053,2787.6041666666665,543.7916666666666,571.9791666666666,1106.9166666666667,564.9166666666666,914.3888888888889
93,AUI-10298,"10416 Irene St, Los Angeles, CA",34.029833700000005,-118.4116094,90034,6037269904,-0.45421291771083894,29.261904761904763,0.48523162508860895,108425.78571428571,4230.476190476191,745.4047619047619,1111.047619047619,1710.404761904762,663.6190476190476,705.1212121212121
94,AUI-10302,"722 Alameda St, Los Angeles, CA",34.032807899999995,-118.23836299999999,90021,6037206031,0.22910219186253236,33.609756097560975,0.5584799095355947,52514.634146341465,4109.804878048781,876.0,1223.0731707317073,1534.878048780488,475.8536585365854,210.0
95,AUI-10287,"2900 S Sepulveda Blvd, Los Angeles, CA",34.028657700000004,-118.4290429,90064-1508,6037271702,-0.5414319244690502,27.975609756097562,0.6190651422113082,127177.41463414633,3650.511111111111,603.5555555555555,870.8,1501.6888888888889,674.4666666666667,706.728813559322
96,AUI-10321,"6510 Forest Lawn Drive, Los Angeles, CA",34.1463664,-118.33349309999998,91522,6037189701,-0.05712363881442037,30.89189189189189,0.42710016799727785,101625.91666666667,3557.027027027027,653.8108108108108,856.5675675675676,1543.4594594594594,503.18918918918916,497.4782608695652
97,AUI-10322,"11320 Laurel Canyon Blvd, Los Angeles, CA",34.2760489,-118.4498162,91340,6037109500,-0.5235951604439809,35.333333333333336,1.1433041532009793,78863.79365079365,3482.757575757576,768.8939393939394,798.9090909090909,1429.469696969697,485.4848484848485,458.4848484848485
98,AUI-10317,"8309 Louise Ave, Los Angeles, CA",34.221544,-118.5102314,91325,6037115401,-0.6317685754783264,32.95384615384615,1.1214032191782057,93393.72307692308,4139.553846153846,840.123076923077,919.2,1735.6461538461538,644.5846153846154,548.7121212121212
